epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.172648,2.254273,0.095028,2.171664,1.861258,1.659166,0.414433,1.860405,1.959106,1.800406,0.422854,1.958175,0.959779,2.271918
2,1.753384,1.5764,0.557458,1.752524,1.811093,1.485594,0.530542,1.810178,1.820765,1.51037,0.593827,1.819848,0.613588,2.030814
3,1.564428,1.336841,0.68174,1.563585,1.822537,1.405254,0.579945,1.821536,1.807013,1.408918,0.64656,1.806033,0.489795,1.438726
4,1.561253,1.318451,0.690436,1.560377,1.674926,1.321807,0.628352,1.674018,1.688069,1.317364,0.691002,1.687148,0.486118,1.403661
5,1.441315,1.20628,0.74087,1.440495,1.516015,1.184803,0.701401,1.51522,1.587225,1.272938,0.711491,1.586343,0.434153,0.982864
6,1.390799,1.169035,0.756624,1.390053,1.538598,1.190957,0.698291,1.537877,1.552702,1.242702,0.725034,1.551947,0.587346,1.265123
7,1.367139,1.14192,0.767783,1.366424,1.508173,1.147308,0.720001,1.507408,1.516544,1.188186,0.74863,1.515749,0.452289,0.78065
8,1.316919,1.112183,0.77972,1.316235,1.552681,1.147875,0.719724,1.551908,1.470187,1.125314,0.774528,1.469457,0.468493,0.850252
9,1.309139,1.106188,0.782089,1.308463,1.499816,1.112605,0.736683,1.499124,1.458637,1.11296,0.779452,1.457959,0.539223,0.94354
10,1.299371,1.103979,0.782958,1.298741,1.53601,1.12921,0.728765,1.535321,1.484594,1.134847,0.770692,1.483917,0.460404,0.872467
11,1.273114,1.080406,0.792128,1.272496,1.566462,1.169795,0.708917,1.565791,1.561141,1.180132,0.752026,1.560473,0.684699,1.46811
12,1.245729,1.06251,0.798957,1.245105,1.46992,1.059832,0.76107,1.469178,1.55216,1.145603,0.766325,1.551364,0.315279,0.473304
13,1.230371,1.056322,0.801292,1.229761,1.487641,1.104426,0.740541,1.486938,1.616951,1.217947,0.73588,1.616153,0.461253,0.714366
14,1.204157,1.026282,0.812433,1.203572,1.480331,1.094077,0.74538,1.479671,1.451734,1.112706,0.779552,1.451086,0.465395,0.921664
15,1.208115,1.054684,0.801908,1.207548,1.515208,1.144722,0.721262,1.51459,1.466684,1.110592,0.780389,1.466094,0.4761,1.106393
16,1.20158,1.04171,0.806752,1.201035,1.44753,1.071456,0.7558,1.446989,1.481385,1.127397,0.773693,1.480801,0.523391,1.299852
17,1.187853,1.020801,0.814431,1.187284,1.531708,1.172561,0.707539,1.53104,1.656687,1.239953,0.726249,1.655939,0.403586,0.74862
18,1.201992,1.023676,0.813385,1.201414,1.399492,1.047773,0.766476,1.398885,1.454715,1.104263,0.782885,1.454066,0.436582,0.850162
19,1.135743,0.998008,0.822626,1.135194,1.519405,1.068498,0.757147,1.518702,1.581432,1.133812,0.77111,1.580694,0.334459,0.563275
20,1.181334,1.003762,0.820575,1.180753,1.567589,1.174932,0.706355,1.56685,1.534671,1.159277,0.760713,1.533948,0.538271,0.890881
21,1.123813,0.986092,0.826836,1.123239,1.592317,1.099118,0.743028,1.591552,1.579943,1.112908,0.779472,1.579183,0.320491,0.527221
22,1.097196,0.970066,0.832419,1.096664,1.537536,1.132707,0.727082,1.536838,1.458548,1.102892,0.783424,1.457885,0.403761,0.701346
23,1.074,0.961996,0.835196,1.073483,1.502095,1.092128,0.746287,1.501422,1.467241,1.08573,0.790111,1.46659,0.365761,0.62492
24,1.066866,0.952292,0.838504,1.06636,1.412744,1.024945,0.776541,1.412127,1.422785,1.064364,0.798291,1.422156,0.382609,0.648311
25,1.06133,0.944937,0.840989,1.060829,1.492064,1.083014,0.750503,1.49139,1.412571,1.056379,0.801306,1.411938,0.36244,0.593481
26,1.050571,0.942652,0.841757,1.050079,1.409912,1.021483,0.778048,1.409288,1.397467,1.044475,0.805759,1.396845,0.347029,0.65872
27,1.029823,0.937893,0.843351,1.029327,1.369305,1.004694,0.785284,1.368701,1.401388,1.053191,0.802504,1.400758,0.369524,0.680498
28,1.036233,0.935484,0.844154,1.035734,1.418537,1.056461,0.762587,1.417931,1.388496,1.044919,0.805594,1.387907,0.4085,0.823364
