epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,1.991403,1.997051,0.274962,1.990353,1.903169,1.63899,0.469932,1.902005,1.88959,1.710021,0.462376,1.888433,0.571206,1.165612
2,1.587079,1.395907,0.645762,1.586192,1.760028,1.371656,0.628747,1.758973,1.782873,1.399067,0.640124,1.781789,0.576895,1.084352
3,1.523401,1.274791,0.704566,1.52245,1.821656,1.393824,0.61665,1.820357,1.738711,1.345692,0.667059,1.737454,0.430212,0.521807
4,1.393375,1.167967,0.752005,1.392454,1.59012,1.228306,0.70229,1.589014,1.52567,1.184559,0.742018,1.524594,0.524818,0.591652
5,1.337934,1.11218,0.77513,1.337039,1.559073,1.203529,0.71418,1.558067,1.572813,1.238716,0.717889,1.571752,0.51423,0.564787
6,1.276902,1.077432,0.788961,1.276115,1.600684,1.24626,0.693524,1.599669,1.552872,1.215161,0.728516,1.551865,0.457357,0.47073
7,1.264764,1.075486,0.789723,1.263984,1.505267,1.157801,0.735487,1.504374,1.512434,1.15188,0.756056,1.511518,0.441539,0.514288
8,1.244321,1.064151,0.794132,1.243586,1.713957,1.272448,0.680508,1.712923,1.625152,1.226025,0.72364,1.624155,0.481592,0.590213
9,1.209241,1.042534,0.802411,1.208546,1.464071,1.113654,0.755274,1.463321,1.4447,1.131534,0.764597,1.443947,0.514551,0.758551
10,1.175656,1.016394,0.812195,1.17502,1.450937,1.11204,0.755983,1.450202,1.404346,1.090432,0.781388,1.403625,0.56884,0.791875
11,1.176397,1.016423,0.812185,1.175765,1.517545,1.16068,0.73417,1.516726,1.392682,1.08543,0.783389,1.391946,0.527211,0.707616
12,1.1423,0.995134,0.81997,1.141642,1.495257,1.105198,0.758976,1.49444,1.423044,1.102489,0.776527,1.422256,0.483816,0.620084
13,1.136609,0.987117,0.822859,1.135968,1.477431,1.14648,0.740635,1.47657,1.507352,1.167679,0.749318,1.50646,0.612806,0.672523
14,1.1212,0.979334,0.825641,1.120506,1.528047,1.117968,0.753374,1.527181,1.473951,1.095473,0.779362,1.473114,0.430036,0.574348
15,1.104974,0.966067,0.830333,1.104332,1.579119,1.159956,0.734501,1.578203,1.574512,1.160011,0.7526,1.573587,0.434273,0.529521
16,1.095729,0.964835,0.830766,1.095079,1.502377,1.143613,0.74193,1.501505,1.421111,1.121803,0.768629,1.420284,0.422744,0.524885
17,1.084747,0.967082,0.829977,1.084121,1.658562,1.194923,0.718253,1.657628,1.585941,1.170018,0.748313,1.585042,0.435647,0.543016
18,1.085478,0.950566,0.835734,1.084825,1.529667,1.149335,0.739341,1.528781,1.487539,1.145284,0.758841,1.486665,0.454437,0.55112
19,1.049389,0.945567,0.837458,1.048785,1.477159,1.112608,0.755734,1.476355,1.462349,1.111742,0.77276,1.461552,0.463657,0.683797
20,1.047762,0.936681,0.840498,1.04716,1.463073,1.074871,0.772023,1.462233,1.435854,1.084785,0.783647,1.435014,0.380462,0.481642
21,1.053318,0.93195,0.842106,1.052693,1.643916,1.201893,0.714957,1.642973,1.682022,1.231659,0.721095,1.681048,0.383958,0.531242
22,1.003748,0.917517,0.846958,1.003185,1.545421,1.176686,0.726787,1.544594,1.576422,1.159629,0.752762,1.575582,0.374863,0.561986
23,1.004778,0.916954,0.847146,1.004224,1.500634,1.131707,0.747276,1.499837,1.491863,1.124023,0.767712,1.49107,0.393189,0.594867
24,1.001475,0.916653,0.847246,1.000895,1.694687,1.199691,0.716,1.693725,1.691284,1.194482,0.737678,1.690328,0.371197,0.433627
25,0.978489,0.903976,0.851442,0.977919,1.499001,1.12494,0.750289,1.498193,1.564458,1.174079,0.746562,1.563609,0.450492,0.608967
26,0.962835,0.902024,0.852083,0.962285,1.524796,1.136515,0.745124,1.524053,1.473637,1.126661,0.766621,1.472913,0.44317,0.744696
27,0.977126,0.906434,0.850633,0.976594,1.509495,1.095096,0.763362,1.508684,1.537831,1.125972,0.766906,1.537003,0.345814,0.448281
28,0.958665,0.907307,0.850345,0.958106,1.672279,1.2111,0.710573,1.671363,1.701528,1.209654,0.730972,1.700612,0.341368,0.498692
29,0.971511,0.906071,0.850753,0.970962,1.562477,1.143544,0.741961,1.561638,1.509184,1.128306,0.765939,1.508363,0.317551,0.499857
30,0.96093,0.893567,0.854844,0.960374,1.556216,1.129648,0.748194,1.555292,1.553879,1.121357,0.768813,1.55295,0.293695,0.385278
31,0.929902,0.885268,0.857527,0.929343,1.502522,1.124695,0.750397,1.501727,1.48524,1.105785,0.775189,1.484453,0.378088,0.633293
32,0.918387,0.881458,0.858751,0.917827,1.511823,1.131382,0.747421,1.511058,1.497926,1.118438,0.770015,1.497178,0.371513,0.719123
33,0.923838,0.881366,0.858781,0.923299,1.507537,1.110852,0.756504,1.506781,1.503898,1.149447,0.757085,1.503126,0.454835,0.805039
34,0.921229,0.873053,0.861432,0.920681,1.665588,1.148533,0.739704,1.664688,1.594533,1.14245,0.760034,1.593662,0.31843,0.48165
35,0.888227,0.862973,0.864613,0.887712,1.525291,1.100462,0.761038,1.524502,1.542477,1.126008,0.766891,1.541673,0.358903,0.602302
36,0.903169,0.868122,0.862993,0.90264,1.508831,1.081552,0.769179,1.508022,1.53726,1.119107,0.76974,1.536439,0.328858,0.568812
37,0.876944,0.863971,0.8643,0.876427,1.576273,1.150367,0.738873,1.575445,1.563384,1.153052,0.755559,1.562557,0.334189,0.552252
38,0.883922,0.864517,0.864128,0.883409,1.562648,1.112537,0.755765,1.56178,1.490907,1.109763,0.773569,1.490066,0.33554,0.4795
39,0.875395,0.859704,0.865637,0.874861,1.574033,1.099183,0.761593,1.57317,1.613689,1.147329,0.757979,1.6128,0.294157,0.431138
40,0.860435,0.853571,0.867547,0.859899,1.537631,1.095932,0.763001,1.536807,1.463775,1.099027,0.777929,1.462979,0.319052,0.563016
41,0.698754,0.811909,0.880161,0.698275,1.722992,1.095983,0.762979,1.722109,1.691586,1.104656,0.775648,1.690716,0.201641,0.360066
42,0.632829,0.792946,0.885694,0.632385,1.739377,1.102569,0.760122,1.738531,1.676348,1.108884,0.773927,1.67553,0.196492,0.370851
43,0.601831,0.787093,0.887375,0.601411,1.756417,1.090403,0.765386,1.755602,1.681384,1.099541,0.777721,1.680596,0.190542,0.378617
44,0.575549,0.783007,0.888542,0.57515,1.747346,1.102609,0.760104,1.746568,1.684369,1.111892,0.772699,1.68362,0.203516,0.417017
45,0.562306,0.779991,0.889398,0.561923,1.768822,1.098706,0.761799,1.768066,1.711933,1.111601,0.772818,1.711204,0.19142,0.41323
46,0.541451,0.779065,0.889661,0.541092,1.755336,1.087069,0.766819,1.754617,1.693036,1.105976,0.775111,1.692341,0.198119,0.451191
47,0.533571,0.776563,0.890368,0.533222,1.747422,1.088042,0.766401,1.746727,1.719285,1.111577,0.772828,1.718609,0.195313,0.458335
48,0.512862,0.775205,0.890752,0.51253,1.827929,1.096108,0.762925,1.827233,1.748756,1.105955,0.77512,1.748093,0.17839,0.431458
49,0.498308,0.773389,0.891263,0.497986,1.873855,1.096505,0.762753,1.873156,1.813042,1.11518,0.771353,1.812371,0.167844,0.410075
50,0.487679,0.772411,0.891538,0.487366,1.81,1.082565,0.768747,1.809339,1.726974,1.102806,0.776399,1.726343,0.177052,0.451681
51,0.476619,0.771671,0.891745,0.476316,1.830519,1.087113,0.7668,1.829875,1.737497,1.10832,0.774157,1.736885,0.174599,0.478644
52,0.463306,0.769816,0.892265,0.463011,1.829156,1.095194,0.76332,1.828527,1.758612,1.120773,0.769053,1.758013,0.176386,0.503012
53,0.460805,0.769921,0.892236,0.460519,1.906138,1.104378,0.759334,1.905511,1.81723,1.12104,0.768943,1.816638,0.162074,0.483523
54,0.457889,0.769526,0.892346,0.457612,1.886606,1.094792,0.763494,1.885993,1.833095,1.11823,0.7701,1.83251,0.153533,0.461266
55,0.44159,0.767422,0.892934,0.441322,1.915237,1.095935,0.762999,1.914637,1.823591,1.109857,0.77353,1.823028,0.149978,0.47817
56,0.433592,0.765952,0.893344,0.433329,1.922863,1.098522,0.761879,1.922271,1.818527,1.113672,0.771971,1.817974,0.149327,0.486132
57,0.43368,0.765656,0.893426,0.433417,1.927928,1.106501,0.758408,1.927344,1.835647,1.121383,0.768802,1.835101,0.145757,0.491973
58,0.415878,0.763665,0.89398,0.415626,1.968752,1.100646,0.760958,1.968171,1.874162,1.123265,0.768026,1.873618,0.138668,0.494524
59,0.412581,0.764401,0.893775,0.412332,2.007539,1.102012,0.760364,2.006965,1.908235,1.127276,0.766366,1.907697,0.127139,0.472846
60,0.40947,0.763103,0.894136,0.409227,1.941871,1.094879,0.763456,1.94132,1.857522,1.12246,0.768358,1.857005,0.133083,0.523069
61,0.399794,0.763527,0.894018,0.399556,1.996133,1.092444,0.764507,1.995582,1.895727,1.114972,0.771438,1.895211,0.122493,0.487506
62,0.388936,0.763076,0.894143,0.388701,1.948374,1.093363,0.764111,1.94784,1.85938,1.117211,0.770519,1.858882,0.128552,0.55358
63,0.394637,0.762478,0.894309,0.394407,1.960089,1.086742,0.766959,1.959564,1.895996,1.117459,0.770417,1.895502,0.120604,0.534143
64,0.379179,0.761895,0.894471,0.378953,1.957038,1.078869,0.770324,1.956516,1.862826,1.112635,0.772395,1.862336,0.118906,0.546807
65,0.369183,0.761051,0.894705,0.368961,2.097065,1.096524,0.762745,2.096525,1.989886,1.118755,0.769884,1.989384,0.101641,0.453187
66,0.362335,0.759902,0.895022,0.362114,2.008649,1.096102,0.762927,2.008136,1.906598,1.121392,0.768798,1.906121,0.111514,0.557886
67,0.365186,0.760108,0.894965,0.364968,2.021793,1.090399,0.765388,2.021285,1.949156,1.122711,0.768254,1.948679,0.102595,0.515182
68,0.350696,0.759587,0.895109,0.350483,2.032596,1.096903,0.762581,2.032094,1.91621,1.121701,0.768671,1.915746,0.104185,0.57177
69,0.353361,0.759435,0.895151,0.35315,2.102839,1.103951,0.75952,2.10233,1.995526,1.12996,0.765252,1.995054,0.097465,0.53804
70,0.33698,0.757708,0.895627,0.336773,2.03672,1.088595,0.766164,2.036235,1.973082,1.124915,0.767343,1.972627,0.095206,0.559116
71,0.332291,0.757127,0.895788,0.332086,2.121121,1.086034,0.767263,2.120628,2.024461,1.121188,0.768882,2.024001,0.089126,0.507704
72,0.323799,0.757166,0.895777,0.323596,2.056038,1.085508,0.767488,2.055557,1.949528,1.119183,0.769708,1.94908,0.092864,0.575815
