epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.087353,2.032859,0.178818,2.085913,1.787114,1.484433,0.530207,1.785664,1.969514,1.780225,0.514745,1.967656,0.901622,1.492139
2,1.790523,1.60138,0.490418,1.789207,1.791102,1.46767,0.540757,1.789612,1.85858,1.618292,0.599009,1.856888,1.003961,1.58039
3,1.615562,1.41721,0.600889,1.61444,1.712643,1.301529,0.638845,1.711562,1.838804,1.605938,0.605108,1.837405,0.716146,2.056996
4,1.550077,1.346377,0.639788,1.549069,1.68097,1.327556,0.624257,1.679681,1.811185,1.517073,0.647602,1.809624,0.656069,0.747178
5,1.488514,1.282791,0.673008,1.487536,1.751342,1.366921,0.601643,1.749911,1.816902,1.415508,0.693207,1.815354,0.51223,0.685343
6,1.443159,1.240363,0.694281,1.442215,1.743738,1.277042,0.652307,1.742455,1.77658,1.359597,0.716965,1.775125,0.489275,0.573518
7,1.426209,1.209747,0.709187,1.425275,1.661368,1.290878,0.644732,1.660166,1.712822,1.413001,0.694293,1.71144,0.708708,0.964481
8,1.381561,1.198766,0.714442,1.380654,1.862109,1.466686,0.541373,1.860428,1.821384,1.475038,0.66686,1.819628,0.868661,0.728647
9,1.37621,1.170818,0.727602,1.375233,1.648266,1.269136,0.656599,1.646912,1.681667,1.370819,0.712273,1.680148,0.787995,0.961411
10,1.323804,1.114761,0.753062,1.322875,1.654972,1.266265,0.65815,1.653549,1.691425,1.347747,0.721877,1.689843,0.701594,0.667102
11,1.288762,1.109623,0.755333,1.287878,1.654543,1.231406,0.676713,1.653401,1.798828,1.390626,0.703898,1.797451,0.627061,0.578897
12,1.295021,1.100738,0.759235,1.294126,1.61652,1.293278,0.64341,1.615345,1.63712,1.313644,0.735774,1.635889,1.076324,1.087168
13,1.307319,1.094717,0.761862,1.306407,1.735694,1.249102,0.667355,1.734328,1.66599,1.258562,0.757468,1.66458,0.700858,0.521522
14,1.24746,1.064888,0.774663,1.246592,1.54728,1.149957,0.718065,1.54607,1.59571,1.239371,0.764808,1.59436,0.676031,0.528414
15,1.252829,1.05071,0.780623,1.251964,1.701283,1.284497,0.648236,1.699971,1.67213,1.279354,0.749388,1.670773,0.879669,0.703048
16,1.18878,1.010422,0.797124,1.18792,1.732073,1.327606,0.624229,1.730713,1.620226,1.250453,0.760583,1.618963,0.740119,0.667954
17,1.183368,1.027834,0.790071,1.182516,1.700609,1.24013,0.672116,1.699247,1.60673,1.218291,0.77274,1.605332,0.555737,0.329689
18,1.170399,0.99481,0.803345,1.169538,1.779929,1.182537,0.701864,1.778589,1.897482,1.284298,0.747447,1.895878,0.389899,0.231004
19,1.149502,0.990716,0.80496,1.148644,1.673879,1.157911,0.714152,1.672614,1.696059,1.253778,0.759308,1.694629,0.520398,0.381489
20,1.111756,0.953926,0.819177,1.110922,1.549024,1.15246,0.716837,1.547742,1.665833,1.270432,0.752871,1.664284,0.62703,0.395234
21,1.11593,0.945874,0.822217,1.115063,1.696288,1.244072,0.670029,1.694861,1.637563,1.271492,0.752459,1.636069,0.727141,0.488892
22,1.159142,0.973104,0.811833,1.158234,1.609644,1.204179,0.690851,1.608327,1.683394,1.261448,0.756354,1.681899,0.54634,0.382248
23,1.070725,0.922497,0.830895,1.069867,1.587203,1.123979,0.730659,1.585944,1.560863,1.182252,0.785987,1.559498,0.635613,0.357007
24,1.052231,0.919031,0.832164,1.051374,1.621876,1.156766,0.714716,1.620616,1.759417,1.275267,0.750986,1.757883,0.52547,0.35225
25,1.067201,0.913688,0.83411,1.066307,1.65661,1.182013,0.702128,1.655227,1.650331,1.202649,0.778538,1.648841,0.502681,0.301816
26,1.04435,0.902186,0.83826,1.043515,1.637205,1.15288,0.71663,1.635846,1.801016,1.29941,0.741469,1.799307,0.444622,0.247374
27,1.034037,0.896082,0.840441,1.033202,1.636251,1.200596,0.692688,1.634865,1.591842,1.247074,0.761875,1.590376,0.627909,0.44439
28,1.033183,0.882346,0.845295,1.032311,1.641238,1.200712,0.692629,1.639703,1.565747,1.194238,0.781626,1.56417,0.593277,0.337397
29,0.996647,0.869906,0.849627,0.99574,1.593162,1.184385,0.700931,1.591662,1.569887,1.214543,0.774136,1.568245,0.732275,0.447204
30,0.967495,0.839406,0.859987,0.966593,1.619624,1.185463,0.700386,1.618109,1.678344,1.273668,0.751611,1.676549,0.518177,0.30309
31,0.962382,0.849637,0.856553,0.961498,1.667792,1.143631,0.721158,1.666409,1.57936,1.12634,0.805751,1.577988,0.572753,0.345192
32,0.956944,0.836224,0.861046,0.956093,1.600561,1.121398,0.731895,1.599133,1.553241,1.156325,0.795271,1.551687,0.484702,0.24906
