epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.222759,2.254099,-0.00965,2.221816,2.079573,1.902758,0.228115,2.078665,2.290891,2.332753,0.166784,2.2898,1.115671,3.74012
2,1.821425,1.654567,0.456006,1.820569,1.880433,1.567628,0.476072,1.879489,2.074327,1.935632,0.426325,2.073193,0.57908,2.267614
3,1.669872,1.449399,0.582553,1.669016,1.818555,1.523306,0.50528,1.817515,2.039587,1.918117,0.43666,2.03834,0.438907,1.610176
4,1.583046,1.336622,0.644988,1.582168,1.847723,1.466822,0.541288,1.846612,2.09471,1.817391,0.494272,2.093387,0.33752,0.993836
5,1.484389,1.254764,0.68714,1.483574,1.601959,1.228866,0.678046,1.601113,1.698085,1.439569,0.682689,1.697132,0.447997,1.358154
6,1.429438,1.204477,0.711715,1.428659,1.825339,1.372913,0.598143,1.824271,2.167895,1.688925,0.563242,2.166587,0.322069,0.750511
7,1.373618,1.156288,0.734321,1.372879,1.531046,1.135104,0.725301,1.530244,1.666633,1.327611,0.730125,1.665711,0.375809,0.910604
8,1.340235,1.130843,0.745886,1.33954,1.606554,1.182564,0.70185,1.60583,1.618724,1.23592,0.766116,1.61798,0.524456,1.625947
9,1.314754,1.106833,0.756562,1.314101,1.554243,1.106595,0.738926,1.553542,1.567407,1.176058,0.788223,1.566689,0.383954,1.104717
10,1.283736,1.086527,0.765412,1.28315,1.460721,1.068228,0.756716,1.460082,1.530748,1.180929,0.786465,1.530052,0.419623,1.094815
11,1.246618,1.067229,0.773671,1.246041,1.572483,1.110313,0.737169,1.571798,1.526438,1.119783,0.808006,1.525763,0.363985,0.949709
12,1.23416,1.059365,0.776994,1.233611,1.432354,1.050072,0.764916,1.431763,1.466171,1.117521,0.808781,1.465549,0.373676,1.025874
13,1.220537,1.044897,0.783044,1.219995,1.440613,1.041268,0.768841,1.439979,1.468171,1.073261,0.823627,1.467525,0.31591,0.829888
14,1.213263,1.044682,0.783133,1.212727,1.392657,1.03082,0.773457,1.39209,1.471087,1.116155,0.809248,1.470467,0.377758,1.139176
15,1.164692,1.015045,0.795263,1.164168,1.438947,1.050341,0.764795,1.438342,1.512946,1.114568,0.80979,1.512291,0.307396,0.799129
16,1.160956,1.00483,0.799363,1.160442,1.446153,1.098088,0.742925,1.44551,1.538232,1.187243,0.784176,1.537534,0.335835,0.71202
17,1.15893,1.001726,0.800601,1.158412,1.415828,1.039104,0.769801,1.41523,1.559991,1.164139,0.792494,1.559308,0.34172,0.76296
18,1.135289,0.993415,0.803896,1.134788,1.355254,1.000111,0.786754,1.354711,1.438037,1.075053,0.823038,1.437453,0.398583,1.205819
19,1.139378,0.988386,0.805876,1.13887,1.414721,1.012308,0.78152,1.414116,1.509992,1.099224,0.814991,1.509325,0.276247,0.670371
20,1.10769,0.971969,0.812271,1.107204,1.367735,1.019757,0.778293,1.367188,1.421999,1.080858,0.821122,1.421426,0.362346,0.915044
21,1.098806,0.972905,0.81191,1.098329,1.415908,1.020037,0.778172,1.415363,1.409109,1.038022,0.835019,1.408567,0.326182,1.051201
22,1.069346,0.959405,0.817093,1.068881,1.497247,1.041463,0.768754,1.496689,1.467903,1.068582,0.825162,1.467345,0.332265,0.925785
23,1.067113,0.951566,0.82007,1.066658,1.363715,1.004196,0.785008,1.363184,1.413788,1.0385,0.834867,1.413238,0.274435,0.788516
24,1.074053,0.956631,0.81815,1.073601,1.444694,1.033427,0.772309,1.444109,1.467007,1.075938,0.822747,1.466404,0.284449,0.668539
25,1.03111,0.938121,0.825119,1.030645,1.396754,0.999616,0.786964,1.39622,1.392828,1.045897,0.832506,1.392285,0.293339,0.879067
26,1.022002,0.933435,0.826862,1.021566,1.493466,1.037174,0.770655,1.492872,1.491314,1.070257,0.824613,1.490713,0.234537,0.553317
27,1.012861,0.927395,0.829095,1.012435,1.381494,0.99559,0.788677,1.380981,1.442176,1.053925,0.829925,1.441633,0.299374,0.806206
28,1.013771,0.920466,0.831639,1.013338,1.571926,1.055283,0.762576,1.571303,1.637248,1.128839,0.804888,1.636584,0.249307,0.625431
