epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.155952,2.130855,0.143878,2.154696,1.881441,1.636141,0.457823,1.880071,1.988468,1.753802,0.489097,1.986907,0.797188,1.452736
2,1.728829,1.524037,0.562056,1.727707,1.882347,1.611127,0.474274,1.880808,1.91465,1.628183,0.559665,1.913096,0.736556,1.006857
3,1.627838,1.401008,0.629909,1.626792,1.705766,1.416227,0.593776,1.704649,1.93546,1.684249,0.528818,1.93405,0.837729,1.247951
4,1.530345,1.290253,0.68611,1.529358,1.669007,1.3251,0.644371,1.667979,1.696565,1.386074,0.680883,1.695426,0.918635,1.616901
5,1.509572,1.270072,0.695853,1.50855,1.580336,1.283923,0.66613,1.579149,1.718186,1.396165,0.67622,1.716776,0.689657,0.629462
6,1.491057,1.26306,0.699202,1.490042,1.867232,1.411448,0.596513,1.865435,1.772962,1.329336,0.706474,1.771296,0.476548,0.296899
7,1.400148,1.182815,0.736208,1.399175,1.571463,1.238368,0.689402,1.57038,1.651833,1.298361,0.719994,1.650632,0.683762,0.673696
8,1.356127,1.147356,0.751787,1.355219,1.62967,1.240817,0.688172,1.628363,1.646925,1.289309,0.723885,1.645537,0.614251,0.482987
9,1.367514,1.178173,0.738275,1.366575,1.641764,1.274326,0.671102,1.640412,1.619851,1.258581,0.736889,1.618495,0.593329,0.463268
10,1.321726,1.119088,0.763867,1.320824,1.533515,1.177983,0.718954,1.532347,1.621294,1.293187,0.722221,1.619978,0.639322,0.533335
11,1.306431,1.104464,0.769998,1.305487,1.53585,1.196021,0.710281,1.534761,1.582225,1.257618,0.737291,1.581019,0.950654,0.896841
12,1.274191,1.082792,0.778936,1.273302,1.543971,1.183209,0.716454,1.542882,1.565128,1.199506,0.761009,1.563991,0.572926,0.493436
13,1.263228,1.048172,0.792846,1.262378,1.492867,1.155745,0.729465,1.49181,1.586133,1.228488,0.749321,1.584942,0.612501,0.496099
14,1.205612,1.010431,0.807495,1.204771,1.547364,1.178003,0.718944,1.546227,1.640197,1.283138,0.726521,1.638967,0.583156,0.456746
15,1.215646,1.020502,0.803639,1.214818,1.647133,1.278687,0.668848,1.645917,1.630912,1.277986,0.728713,1.629701,1.016087,1.11257
16,1.185146,1.002721,0.810422,1.184291,1.469385,1.153047,0.730726,1.468355,1.583204,1.26887,0.732569,1.582014,0.664177,0.568519
17,1.157217,0.983618,0.817577,1.156378,1.760523,1.334277,0.639428,1.759043,1.694612,1.318965,0.711036,1.693143,0.66227,0.454389
18,1.163153,0.98743,0.81616,1.162309,1.503159,1.182149,0.716962,1.501905,1.551153,1.251933,0.739661,1.549778,0.899823,0.639673
19,1.132592,0.950937,0.829497,1.131742,1.531988,1.175694,0.720045,1.530797,1.644551,1.246403,0.741956,1.643229,0.535924,0.381808
20,1.114742,0.943997,0.831977,1.113908,1.537809,1.214078,0.701467,1.536552,1.563399,1.218862,0.753234,1.562079,0.558201,0.429303
21,1.124674,0.953041,0.828742,1.12384,1.546862,1.165954,0.724664,1.545631,1.541636,1.16422,0.774863,1.540362,0.525127,0.372532
22,1.115407,0.930741,0.836663,1.114572,1.534854,1.161793,0.726626,1.533687,1.62272,1.217011,0.753983,1.621428,0.546329,0.38719
23,1.063012,0.903732,0.846005,1.062206,1.552082,1.172576,0.721528,1.550835,1.600237,1.231762,0.747983,1.598898,0.473871,0.296076
24,1.021069,0.877348,0.854865,1.02028,1.501137,1.129633,0.741551,1.499938,1.564983,1.187539,0.765754,1.563667,0.458025,0.284961
25,1.066141,0.916431,0.841647,1.065341,1.888207,1.205579,0.705632,1.886849,1.94904,1.244523,0.742734,1.947599,0.264827,0.147098
26,1.033573,0.906333,0.845117,1.032735,1.48187,1.165151,0.725044,1.480646,1.562778,1.207258,0.75791,1.561391,0.632932,0.381555
27,1.038213,0.889195,0.850919,1.037409,1.509916,1.16406,0.725558,1.508653,1.509598,1.160818,0.776177,1.508295,0.526044,0.369633
28,0.994823,0.866635,0.858388,0.994022,1.486858,1.153078,0.730712,1.485635,1.549558,1.251787,0.739722,1.548215,0.651168,0.435115
29,1.005165,0.868898,0.857647,1.004377,1.602196,1.155325,0.729661,1.600896,1.724741,1.218033,0.753569,1.72333,0.433912,0.229116
30,0.962782,0.84824,0.864336,0.961982,1.528644,1.139214,0.737148,1.527378,1.59554,1.205088,0.758779,1.594154,0.610028,0.339357
31,1.003776,0.849435,0.863953,1.002963,1.722471,1.273132,0.671719,1.720848,1.74769,1.328421,0.706878,1.745992,0.53632,0.311213
