epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,1.922714,1.802881,0.421163,1.921669,1.950823,1.769646,0.333854,1.949613,1.914064,1.623283,0.530827,1.912944,1.178644,2.507637
2,1.651783,1.445056,0.62813,1.650718,1.830978,1.551573,0.487916,1.829672,1.867186,1.545361,0.574789,1.865828,0.801762,1.14264
3,1.56752,1.357705,0.671729,1.566416,1.750965,1.493356,0.525624,1.749755,1.789642,1.46754,0.616536,1.788395,0.965626,1.502551
4,1.514969,1.312467,0.69324,1.513874,1.658989,1.338205,0.619073,1.657756,1.758094,1.376599,0.662589,1.756778,0.695806,0.954667
5,1.4431,1.246403,0.723345,1.44206,1.641502,1.317875,0.630559,1.640319,1.705972,1.343342,0.678694,1.704704,0.832162,1.254325
6,1.405666,1.205565,0.741177,1.404668,1.760653,1.443465,0.556791,1.759303,1.850194,1.534807,0.580577,1.848713,0.838163,1.261739
7,1.373952,1.189504,0.748027,1.372945,2.031404,1.653225,0.41862,2.029453,2.079219,1.674307,0.500869,2.077228,0.719955,0.669253
8,1.338569,1.159559,0.760554,1.33758,1.741937,1.299288,0.640907,1.740376,1.844854,1.374627,0.663554,1.843173,0.578744,0.52466
9,1.343147,1.164268,0.758605,1.342129,1.60656,1.264178,0.660052,1.605344,1.692028,1.324711,0.687545,1.69072,0.64355,1.056333
10,1.296857,1.134012,0.770988,1.295855,1.609656,1.25586,0.664511,1.608456,1.704031,1.303951,0.697262,1.702729,0.784921,0.914573
11,1.27394,1.108355,0.781234,1.273,1.636953,1.29226,0.644781,1.635828,1.683939,1.316424,0.691443,1.682756,0.731541,1.21093
12,1.273772,1.104964,0.782571,1.272817,1.702074,1.332311,0.622421,1.700773,1.724349,1.345653,0.677588,1.723007,0.683239,1.005694
13,1.258339,1.098568,0.78508,1.257366,1.75876,1.311482,0.634135,1.75724,1.84412,1.360954,0.670215,1.842533,0.46431,0.527166
14,1.232362,1.077747,0.79315,1.231414,2.003424,1.477655,0.535546,2.001394,2.158219,1.530663,0.582839,2.155997,0.495135,0.373954
15,1.211429,1.06523,0.797927,1.21047,1.717037,1.307747,0.636215,1.715708,1.729402,1.311148,0.693911,1.728074,0.546598,0.835872
16,1.187291,1.052609,0.802687,1.18638,1.671861,1.284209,0.649193,1.670465,1.77088,1.348887,0.676037,1.769388,0.515472,0.691136
