epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,1.925382,1.828604,0.335547,1.92438,2.162194,1.820335,0.293539,2.160832,2.5037,2.239524,0.232052,2.501967,0.615837,1.128014
2,1.72311,1.540837,0.528221,1.722087,1.842288,1.522348,0.505902,1.841072,1.959198,1.741597,0.535575,1.957757,0.993108,1.979065
3,1.612705,1.409662,0.605129,1.611649,1.806831,1.469219,0.539787,1.805534,1.882956,1.583818,0.615912,1.881506,0.959257,1.57859
4,1.54116,1.333975,0.646393,1.540118,1.710996,1.361844,0.604597,1.709763,1.872754,1.562028,0.626408,1.87131,0.772659,1.589827
5,1.476017,1.271959,0.678507,1.475,1.728286,1.400207,0.582006,1.726951,1.892677,1.595275,0.610335,1.891058,0.868922,1.168123
6,1.447942,1.258502,0.685274,1.446917,1.770809,1.410663,0.57574,1.769424,1.729325,1.351783,0.720209,1.727972,0.664271,1.106701
7,1.387858,1.202118,0.712843,1.386904,1.747479,1.34209,0.615984,1.74598,1.891681,1.441133,0.681999,1.889995,0.673426,0.631606
8,1.376243,1.179828,0.723393,1.375244,1.985973,1.540053,0.494342,1.984438,2.470135,1.900014,0.447243,2.468153,0.532257,0.596155
9,1.356275,1.173416,0.726392,1.355284,1.768392,1.331149,0.62222,1.766732,1.761385,1.332208,0.728253,1.759661,0.563683,0.539061
10,1.324748,1.148478,0.737898,1.323761,1.627732,1.238994,0.672717,1.626336,1.700447,1.300132,0.741181,1.698934,0.740503,0.793026
11,1.296779,1.124645,0.748663,1.295772,1.721736,1.34899,0.612025,1.720204,1.733913,1.346617,0.722343,1.732332,0.828003,0.806078
12,1.278187,1.122983,0.749406,1.277189,1.700407,1.31585,0.630854,1.698888,1.693954,1.303315,0.739913,1.692402,0.686281,0.907746
13,1.246885,1.095692,0.761438,1.245922,1.761097,1.312226,0.632884,1.759568,1.964982,1.4113,0.695028,1.963226,0.538129,0.574725
14,1.223215,1.071946,0.771666,1.22228,1.85682,1.350627,0.611083,1.855055,1.842953,1.321061,0.732782,1.84116,0.492228,0.407086
15,1.218788,1.067158,0.773701,1.217833,1.72409,1.29659,0.641581,1.722629,1.843759,1.344369,0.723269,1.842121,0.545879,0.641741
16,1.1815,1.048361,0.781603,1.180559,1.755168,1.339211,0.61763,1.75356,1.662265,1.269954,0.753057,1.660697,0.729363,0.58286
17,1.17504,1.043165,0.783763,1.174089,1.925394,1.359486,0.605965,1.923419,1.79431,1.269922,0.753069,1.792395,0.496891,0.297754
18,1.145217,1.026608,0.790572,1.144226,1.703727,1.322545,0.627088,1.701821,1.690707,1.258975,0.757308,1.688832,0.582786,0.421518
19,1.178393,1.032225,0.788274,1.177324,1.774706,1.339886,0.617245,1.772902,1.624698,1.221004,0.771727,1.62303,0.578798,0.553654
20,1.114187,0.999959,0.801304,1.113253,1.877328,1.424402,0.567436,1.875693,1.7554,1.319691,0.733336,1.753769,0.620776,0.606987
21,1.125481,0.999789,0.801371,1.12452,1.75226,1.301444,0.638892,1.750664,1.728497,1.281868,0.748402,1.726756,0.720146,0.692241
22,1.086939,0.984205,0.807515,1.085972,1.814565,1.35615,0.607896,1.812827,1.901591,1.369741,0.712725,1.89978,0.529873,0.572522
23,1.091787,0.985751,0.80691,1.090764,1.713887,1.26666,0.657937,1.712269,1.770629,1.282318,0.748225,1.768807,0.525702,0.519524
24,1.065787,0.967241,0.814093,1.064814,1.789497,1.278776,0.651362,1.78768,1.714976,1.213374,0.774571,1.713077,0.488709,0.282815
25,1.046865,0.963995,0.815339,1.045934,1.775572,1.2821,0.649547,1.773888,1.769484,1.261791,0.756221,1.767685,0.544345,0.400294
26,1.054165,0.961649,0.816237,1.053185,1.867442,1.383821,0.591732,1.865666,1.778235,1.288807,0.745671,1.776403,0.509741,0.456705
27,0.99799,0.94041,0.824264,0.997078,1.760604,1.361523,0.604783,1.758971,1.789167,1.288902,0.745633,1.787428,0.530073,0.565335
28,1.006224,0.945149,0.822489,1.005282,2.105942,1.324872,0.625774,2.103843,2.057153,1.263632,0.75551,2.054927,0.336684,0.21296
29,0.989256,0.936683,0.825655,0.988266,1.863904,1.360605,0.605316,1.861974,1.879116,1.327959,0.729984,1.876998,0.606261,0.427712
30,0.988366,0.929833,0.828195,0.987385,1.829135,1.32075,0.6281,1.827498,1.806899,1.274648,0.751228,1.805205,0.575815,0.528729
31,0.956354,0.910571,0.83524,0.955442,1.855158,1.393339,0.586097,1.85344,1.885444,1.340202,0.724982,1.883571,0.54091,0.521491
32,0.944749,0.914608,0.833776,0.943799,1.921651,1.358404,0.606592,1.919854,1.964543,1.269236,0.753336,1.962614,0.382424,0.418318
33,0.947522,0.913365,0.834227,0.946564,1.992268,1.368061,0.600978,1.990249,1.931137,1.315845,0.734888,1.928937,0.461423,0.437406
34,0.933047,0.895033,0.840815,0.932076,1.93728,1.355718,0.608146,1.935412,2.246856,1.470255,0.669017,2.244529,0.471032,0.472099
35,0.925948,0.905011,0.837246,0.924955,1.968548,1.36253,0.604199,1.966542,1.849848,1.274299,0.751365,1.847769,0.483229,0.400988
36,0.907658,0.891889,0.841931,0.906661,1.983106,1.329329,0.623252,1.980944,1.87742,1.260294,0.7568,1.875062,0.487973,0.325701
37,0.893948,0.881788,0.845491,0.893007,2.062033,1.346419,0.613503,2.059932,1.954071,1.243286,0.763319,1.951914,0.393716,0.322884
38,0.877986,0.874346,0.848088,0.877079,2.171506,1.402406,0.580692,2.169255,2.219386,1.33708,0.726262,2.216936,0.376596,0.30506
39,0.880883,0.878532,0.84663,0.879889,1.984678,1.331574,0.621979,1.982807,1.952481,1.273003,0.75187,1.950447,0.410738,0.437248
40,0.858516,0.878035,0.846804,0.857566,2.128106,1.323208,0.626714,2.126326,2.340244,1.319562,0.733388,2.338085,0.372988,0.407048
41,0.647252,0.818909,0.866741,0.646452,2.351411,1.32299,0.626837,2.349561,2.431128,1.260735,0.756629,2.429014,0.304919,0.301073
42,0.537671,0.799236,0.873067,0.536935,2.463021,1.321723,0.627551,2.461188,2.615965,1.268063,0.753792,2.61385,0.271454,0.285459
43,0.49809,0.792605,0.875164,0.49737,2.507347,1.313615,0.632107,2.505582,2.688032,1.266772,0.754293,2.685989,0.256852,0.296944
44,0.467183,0.788271,0.876526,0.466491,2.662915,1.319869,0.628596,2.661139,2.769238,1.262049,0.756122,2.767209,0.247411,0.281945
45,0.437091,0.785478,0.877399,0.436404,2.679513,1.319569,0.628764,2.677788,2.799292,1.265191,0.754906,2.79732,0.249822,0.3057
46,0.413583,0.781141,0.878749,0.412915,2.757731,1.318258,0.629501,2.755998,2.960564,1.271279,0.752542,2.958546,0.223621,0.279581
47,0.390088,0.779809,0.879162,0.389434,2.790162,1.321927,0.627436,2.788446,2.99192,1.272323,0.752135,2.989929,0.232166,0.286377
48,0.387392,0.777813,0.87978,0.386737,2.951541,1.323414,0.626598,2.949811,3.144807,1.265697,0.75471,3.142815,0.2155,0.250402
49,0.366886,0.776345,0.880234,0.366243,2.866412,1.31833,0.629461,2.864705,3.040953,1.272398,0.752106,3.038995,0.221716,0.282238
50,0.355136,0.774806,0.880708,0.35449,3.013275,1.327188,0.624465,3.011548,3.218879,1.274567,0.75126,3.216902,0.20695,0.272144
51,0.338284,0.773596,0.88108,0.33765,3.128463,1.322446,0.627144,3.126672,3.303637,1.270628,0.752795,3.301567,0.192974,0.226918
52,0.31712,0.772163,0.881521,0.316485,3.181225,1.321036,0.627939,3.179481,3.390144,1.266826,0.754272,3.388163,0.198269,0.243515
53,0.318373,0.770464,0.882041,0.317743,3.017796,1.320484,0.628249,3.016114,3.171475,1.266167,0.754528,3.169548,0.218447,0.296998
54,0.30079,0.769942,0.882201,0.300174,3.154943,1.328246,0.623866,3.153173,3.32273,1.274425,0.751315,3.320707,0.207008,0.245499
55,0.288939,0.769303,0.882397,0.288319,3.132895,1.333868,0.620675,3.131197,3.337168,1.270608,0.752803,3.335233,0.206643,0.28448
56,0.28628,0.768288,0.882707,0.285653,3.227165,1.327135,0.624495,3.225441,3.448443,1.273971,0.751492,3.446469,0.197439,0.266798
57,0.273253,0.766123,0.883367,0.272642,3.102964,1.330134,0.622796,3.101252,3.350714,1.280111,0.749091,3.348748,0.218349,0.28452
58,0.263885,0.766062,0.883385,0.263261,3.526254,1.327434,0.624326,3.524471,3.686779,1.262592,0.755912,3.684767,0.173047,0.218093
59,0.247939,0.766459,0.883264,0.247319,3.355686,1.331566,0.621983,3.353877,3.490745,1.271669,0.75239,3.488701,0.202198,0.2496
60,0.237164,0.764733,0.88379,0.236542,3.505441,1.330711,0.622469,3.503667,3.769834,1.281476,0.748556,3.767811,0.176553,0.245589
61,0.23377,0.764722,0.883793,0.233158,3.618358,1.331803,0.621849,3.616572,3.879536,1.280887,0.748787,3.877521,0.176869,0.240711
62,0.224366,0.763597,0.884135,0.223742,3.395474,1.332963,0.62119,3.393729,3.601466,1.273802,0.751558,3.59951,0.197415,0.281833
63,0.224777,0.764689,0.883803,0.224155,3.459899,1.327631,0.624215,3.458173,3.686958,1.270303,0.752921,3.685011,0.195703,0.276429
64,0.208301,0.76222,0.884552,0.207691,3.529904,1.343213,0.615341,3.52814,3.766531,1.279956,0.749152,3.764543,0.19367,0.27125
65,0.189798,0.76279,0.88438,0.189189,3.626145,1.328008,0.624001,3.624354,3.850472,1.274738,0.751193,3.848471,0.187479,0.264534
66,0.192684,0.76195,0.884634,0.192076,3.553959,1.331531,0.622003,3.552188,3.826396,1.278493,0.749725,3.824404,0.17921,0.283738
67,0.189932,0.760375,0.88511,0.189318,3.604993,1.330923,0.622348,3.603204,3.91904,1.284458,0.747384,3.917021,0.202975,0.265539
68,0.180801,0.761003,0.884921,0.180166,3.748243,1.340652,0.616807,3.746405,3.957817,1.276196,0.750624,3.955757,0.178752,0.253811
69,0.181416,0.76212,0.884583,0.180787,3.458168,1.339209,0.617631,3.456409,3.684174,1.286345,0.746641,3.682205,0.206893,0.32258
70,0.168463,0.759802,0.885284,0.167844,3.850987,1.332037,0.621716,3.849202,4.116762,1.283429,0.747789,4.114774,0.172499,0.270074
71,0.152375,0.7594,0.885405,0.151748,3.880506,1.337878,0.618391,3.878654,4.108511,1.280788,0.748826,4.106447,0.18094,0.245621
72,0.1502,0.759874,0.885262,0.149575,3.692026,1.33773,0.618475,3.690239,3.964174,1.290991,0.744808,3.962164,0.18883,0.301253
73,0.142738,0.758289,0.88574,0.14212,3.847681,1.340496,0.616896,3.845865,4.139321,1.286135,0.746724,4.137296,0.186163,0.289664
74,0.132265,0.758134,0.885787,0.131645,4.018467,1.331622,0.621952,4.016664,4.276391,1.290209,0.745117,4.274365,0.172723,0.252185
75,0.136701,0.75847,0.885685,0.136076,3.757759,1.343664,0.615083,3.755962,4.030825,1.288504,0.74579,4.028812,0.193961,0.324502
76,0.121335,0.756549,0.886264,0.120706,4.002338,1.336462,0.619198,4.000501,4.276367,1.290914,0.744839,4.274292,0.176354,0.259735
