epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,1.888682,1.757933,0.417317,1.887711,1.95173,1.704307,0.411705,1.9506,2.103237,1.855555,0.428095,2.101996,0.675112,1.725057
2,1.702098,1.480354,0.586801,1.701102,1.893776,1.627084,0.463808,1.892506,2.038487,1.756523,0.487511,2.037066,0.682117,1.091611
3,1.592946,1.382712,0.639512,1.591961,1.863115,1.559977,0.507126,1.861673,1.906633,1.596085,0.576855,1.905126,0.700446,0.989739
4,1.515499,1.316038,0.673439,1.514518,1.812299,1.489819,0.550462,1.811085,1.871917,1.569087,0.59105,1.870558,1.031861,1.98578
5,1.47994,1.279097,0.691515,1.478956,1.790455,1.439629,0.58024,1.789017,1.869112,1.521137,0.615662,1.867541,0.697366,0.688948
6,1.442411,1.238909,0.710595,1.441439,1.765965,1.391683,0.607734,1.764539,1.857233,1.462774,0.644589,1.855653,0.613931,0.636224
7,1.407369,1.21072,0.723615,1.406418,1.754702,1.414471,0.594783,1.753353,1.932803,1.538202,0.60699,1.931261,0.63136,0.734329
8,1.376487,1.180904,0.73706,1.375559,1.668916,1.352946,0.629267,1.667758,1.703985,1.39749,0.675605,1.702781,0.893491,1.396897
9,1.352446,1.168042,0.742756,1.351527,1.800422,1.4707,0.561926,1.79906,1.95189,1.585951,0.582212,1.950362,0.641946,0.910772
10,1.325818,1.148136,0.75145,1.324912,1.67109,1.317926,0.648211,1.669894,1.822038,1.433568,0.65864,1.820661,0.559931,0.891853
11,1.289609,1.120863,0.763118,1.288735,1.645676,1.305211,0.654966,1.644406,1.695446,1.367633,0.689318,1.69411,0.598287,0.855155
12,1.278516,1.113458,0.766237,1.27764,1.7133,1.387677,0.60999,1.712082,1.896481,1.547827,0.602056,1.89505,0.56008,1.099084
13,1.259639,1.096432,0.773332,1.258708,1.614607,1.280814,0.667745,1.613437,1.714064,1.385965,0.680933,1.712795,0.595559,1.056263
14,1.224266,1.076492,0.781501,1.223377,1.641863,1.290354,0.662777,1.640675,1.69635,1.373224,0.686773,1.695075,0.558111,1.102661
15,1.196513,1.05787,0.788995,1.195671,1.707555,1.321186,0.646469,1.706276,1.810485,1.411111,0.66925,1.809075,0.463622,0.661311
16,1.223021,1.064727,0.786251,1.222117,1.680165,1.336177,0.638401,1.678887,1.710982,1.383598,0.682022,1.709644,0.51,1.082731
17,1.175186,1.041442,0.795498,1.174315,1.703527,1.31659,0.648924,1.702213,1.73278,1.337637,0.702797,1.731437,0.462141,1.031565
18,1.15508,1.032442,0.799017,1.154196,1.662468,1.296973,0.659308,1.661284,1.74587,1.338015,0.702629,1.744625,0.46519,1.074713
19,1.139121,1.009721,0.807766,1.138227,1.674732,1.306358,0.65436,1.673392,1.704582,1.331255,0.705626,1.703197,0.539715,0.788375
