epoch,train_loss,train_rmse,train_r2,train_nll,valid_loss,valid_rmse,valid_r2,valid_nll,test_loss,test_rmse,test_r2,test_nll,test_aleatoric,test_epistemic
1,2.093255,2.053492,0.249055,2.091763,1.915488,1.714644,0.374619,1.914147,1.963323,1.750268,0.454552,1.96186,0.988506,1.888282
2,1.703491,1.486016,0.606749,1.702276,1.782874,1.412214,0.575774,1.781516,1.839452,1.451836,0.624699,1.838067,0.644288,0.886201
3,1.629974,1.386203,0.657803,1.628813,1.95396,1.675751,0.402669,1.952241,1.946702,1.652318,0.513893,1.944998,0.993622,1.2794
4,1.551001,1.321791,0.688866,1.549943,1.726576,1.36855,0.601602,1.725146,1.752378,1.371072,0.665292,1.750943,0.751611,0.854161
5,1.474005,1.241092,0.725697,1.473002,1.655661,1.253686,0.665671,1.654569,1.669927,1.323488,0.688122,1.668764,0.850431,1.280693
6,1.43157,1.193992,0.746122,1.430604,1.63673,1.253979,0.665515,1.635627,1.656981,1.286863,0.705144,1.655838,0.739763,1.057014
7,1.388613,1.156379,0.761865,1.387695,1.61004,1.223505,0.681574,1.60885,1.598878,1.249879,0.721849,1.597682,0.751051,0.858454
8,1.347003,1.129551,0.772787,1.346084,1.711803,1.284256,0.649168,1.710567,1.721695,1.306245,0.696195,1.720436,0.610312,0.694474
9,1.361983,1.124395,0.774856,1.361066,1.808266,1.360959,0.606009,1.806908,1.802988,1.382754,0.659565,1.801605,0.533515,0.524219
10,1.306269,1.093683,0.786988,1.305415,1.932377,1.444899,0.55591,1.930811,1.873313,1.415859,0.643068,1.871803,0.6274,0.529112
11,1.291994,1.070179,0.796045,1.291089,1.685252,1.185175,0.701213,1.684065,1.678564,1.21138,0.73872,1.677334,0.445577,0.358466
12,1.278114,1.048211,0.804332,1.277235,1.645551,1.226451,0.680039,1.64439,1.630973,1.30781,0.695467,1.629744,0.786926,0.907634
13,1.261081,1.04918,0.80397,1.260166,1.609468,1.201142,0.693108,1.608266,1.571964,1.206102,0.740992,1.570743,0.589503,0.550701
14,1.23989,1.0317,0.810448,1.239011,1.786377,1.306469,0.636926,1.785281,1.79859,1.357641,0.671818,1.797419,0.599667,0.577569
15,1.229478,1.018815,0.815153,1.228599,1.665042,1.2125,0.687277,1.66377,1.708696,1.291137,0.703183,1.70733,0.729899,0.621795
16,1.209158,1.01022,0.818258,1.208289,1.576181,1.155771,0.715855,1.575064,1.588621,1.190936,0.747465,1.587466,0.548693,0.470892
17,1.171675,0.974237,0.830975,1.170836,1.720253,1.244472,0.670567,1.718967,1.758189,1.279431,0.70854,1.756834,0.474427,0.392249
18,1.165471,0.983912,0.827601,1.1646,1.546781,1.118692,0.733794,1.545443,1.583873,1.175477,0.753979,1.582458,0.518866,0.309859
19,1.170401,0.982339,0.828152,1.1695,1.894674,1.349194,0.612791,1.893198,1.778115,1.340756,0.679931,1.776653,0.570694,0.539588
20,1.154885,0.952982,0.838269,1.153982,1.755139,1.257491,0.663639,1.75372,1.632659,1.220218,0.734894,1.631295,0.590389,0.464816
21,1.085827,0.924333,0.847847,1.084956,1.751315,1.307133,0.636557,1.749805,1.705246,1.308361,0.69521,1.703717,0.605677,0.430236
22,1.113605,0.941611,0.842106,1.112679,1.658752,1.267952,0.658019,1.657256,1.645645,1.281425,0.707631,1.644113,0.795649,0.569084
23,1.061041,0.902767,0.854864,1.060136,1.701869,1.177861,0.704889,1.7005,1.662131,1.196214,0.745222,1.660718,0.406753,0.29084
24,1.050637,0.90412,0.854429,1.049792,1.660481,1.138576,0.724247,1.659124,1.704618,1.204114,0.741845,1.703108,0.407174,0.262854
25,1.038878,0.895657,0.857142,1.03801,1.727823,1.201047,0.693157,1.726431,1.674417,1.200015,0.7436,1.673036,0.461142,0.294146
26,1.005766,0.866557,0.866274,1.004929,1.549576,1.107411,0.739136,1.548364,1.548104,1.163312,0.759044,1.546845,0.59607,0.500559
27,0.989029,0.854074,0.870099,0.988197,1.727846,1.145471,0.720897,1.726412,1.714767,1.176556,0.753527,1.713291,0.338974,0.211968
28,0.96662,0.832272,0.876646,0.965772,1.698973,1.181917,0.702854,1.697607,1.776399,1.198301,0.744332,1.77497,0.385822,0.240525
29,0.963777,0.847735,0.87202,0.96294,1.785062,1.218458,0.684196,1.783458,1.750555,1.222201,0.734032,1.748947,0.424232,0.22027
30,0.94441,0.834211,0.876071,0.943531,1.663004,1.169416,0.709106,1.661413,1.66645,1.198827,0.744107,1.664769,0.475275,0.257003
31,0.951167,0.834626,0.875947,0.950264,1.984862,1.223816,0.681412,1.983037,1.89648,1.197536,0.744658,1.894711,0.326485,0.139572
32,0.913795,0.818783,0.880612,0.912909,1.7171,1.175714,0.705964,1.715502,1.715983,1.204011,0.741889,1.714311,0.412857,0.219419
33,0.909734,0.796957,0.886892,0.908827,1.855766,1.149837,0.718765,1.85401,1.827287,1.165022,0.758335,1.825463,0.335311,0.142819
34,0.881127,0.776966,0.892496,0.880148,1.688336,1.15081,0.718289,1.686561,1.660385,1.176472,0.753562,1.658566,0.417946,0.181013
35,0.847347,0.782701,0.890903,0.846448,1.732186,1.14868,0.719331,1.730517,1.803142,1.201979,0.74276,1.801329,0.342709,0.166846
36,0.832252,0.759344,0.897317,0.831352,1.739776,1.158913,0.714308,1.738086,1.721111,1.203257,0.742213,1.719353,0.37822,0.186346
37,0.801428,0.737843,0.903049,0.800539,1.655841,1.171399,0.708119,1.654174,1.680849,1.20806,0.74015,1.679042,0.451468,0.241421
38,0.773993,0.720079,0.907661,0.773127,1.92579,1.170425,0.708604,1.924087,1.828026,1.18271,0.750942,1.826285,0.315957,0.148567
39,0.769654,0.733395,0.904215,0.76881,1.765966,1.177512,0.705065,1.764283,1.655004,1.14284,0.76745,1.653325,0.376947,0.181707
40,0.767882,0.73215,0.90454,0.766988,1.63345,1.157072,0.715215,1.631897,1.71858,1.232762,0.729415,1.716889,0.516901,0.285103
41,0.54908,0.641614,0.926689,0.548319,2.287791,1.138839,0.724119,2.285894,2.23339,1.162665,0.759312,2.231445,0.195122,0.073856
42,0.338618,0.574269,0.941271,0.337954,2.320674,1.128969,0.72888,2.318838,2.303355,1.161443,0.759818,2.301459,0.175718,0.066339
43,0.230438,0.546693,0.946776,0.229834,2.492127,1.1173,0.734456,2.490313,2.477922,1.148037,0.76533,2.476049,0.14787,0.054459
44,0.151196,0.527938,0.950365,0.150635,2.651762,1.12729,0.729686,2.649932,2.629601,1.158914,0.760863,2.627711,0.135165,0.048539
45,0.086712,0.517251,0.952354,0.086182,2.75445,1.135687,0.725644,2.752577,2.748097,1.170798,0.755933,2.746164,0.129245,0.0443
46,0.027088,0.505379,0.954516,0.026587,2.832521,1.123116,0.731685,2.830709,2.848517,1.154507,0.762678,2.846636,0.107917,0.036965
47,-0.035718,0.499764,0.955521,-0.036197,2.897927,1.12542,0.730583,2.89609,2.891889,1.152967,0.763311,2.889992,0.106931,0.035295
48,-0.084491,0.492946,0.956727,-0.084958,2.924203,1.131532,0.727648,2.922365,2.913385,1.161412,0.759831,2.911486,0.112159,0.037149
49,-0.132424,0.489262,0.957371,-0.132872,3.013665,1.146942,0.72018,3.011775,3.006377,1.173626,0.754753,3.004431,0.107807,0.034574
50,-0.162239,0.481703,0.958678,-0.16268,3.172948,1.136664,0.725172,3.171048,3.168486,1.172538,0.755207,3.166521,0.095303,0.030317
51,-0.213492,0.477285,0.959432,-0.213913,3.18419,1.145264,0.720998,3.182296,3.176043,1.171364,0.755697,3.174089,0.096516,0.030797
52,-0.252116,0.475192,0.959788,-0.252526,3.10743,1.124784,0.730887,3.105587,3.116892,1.160901,0.760042,3.114981,0.103775,0.032772
53,-0.27875,0.471035,0.960488,-0.279148,3.23879,1.130684,0.728056,3.236918,3.223755,1.174261,0.754487,3.221805,0.10203,0.031855
54,-0.31718,0.46931,0.960777,-0.31757,3.351271,1.140303,0.723409,3.349352,3.34105,1.173611,0.754759,3.339069,0.091762,0.02771
55,-0.336271,0.462853,0.961849,-0.336657,3.455307,1.132,0.727423,3.453399,3.428978,1.167438,0.757332,3.427009,0.087869,0.026682
56,-0.358428,0.461178,0.962124,-0.358807,3.350666,1.13008,0.728347,3.348793,3.351511,1.160578,0.760175,3.349575,0.093478,0.028768
57,-0.372087,0.461479,0.962075,-0.372459,3.569421,1.134522,0.726207,3.567487,3.552489,1.168281,0.756981,3.550494,0.08202,0.024607
58,-0.42209,0.459202,0.962448,-0.422455,3.512566,1.118272,0.733994,3.510685,3.496814,1.155908,0.762102,3.49487,0.088743,0.026933
59,-0.394793,0.456404,0.962905,-0.395157,3.472241,1.138542,0.724263,3.470355,3.401837,1.163636,0.75891,3.39991,0.096341,0.029808
60,-0.451567,0.453509,0.963374,-0.451916,3.739434,1.139132,0.723978,3.7375,3.674447,1.164682,0.758476,3.672467,0.080152,0.024412
61,-0.482417,0.449175,0.96407,-0.482759,3.731925,1.142915,0.722141,3.729983,3.682603,1.171857,0.755492,3.68061,0.083355,0.025235
62,-0.505921,0.445826,0.964604,-0.506257,3.56209,1.127699,0.72949,3.560224,3.530578,1.162065,0.759561,3.528654,0.094893,0.030083
63,-0.515073,0.445441,0.964665,-0.515404,3.682861,1.140685,0.723224,3.680955,3.63542,1.165586,0.758101,3.633468,0.089941,0.027361
64,-0.568584,0.44281,0.965081,-0.568908,3.763043,1.129849,0.728458,3.761148,3.737648,1.164481,0.75856,3.735688,0.088266,0.02662
